trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",20,0,-177.9276173677715,"{0: 7, 1: 1, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.9025}",20,0,-141.28199640642345,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.8573749999999999}",20,0,-162.03424845314154,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.3, 'e': 0.8145062499999999}",35,0,-154.7158022146881,"{0: 22, 1: 4, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.7737809374999999}",25,0,-58.13574869666681,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.7350918906249998}",20,0,-0.5421145534387019,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.6983372960937497}",20,0,-73.56417080384048,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.6634204312890623}",20,0,-27.843140921707985,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.6302494097246091}",25,0,-219.91126759215052,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
10,False,"{'a': 0.3, 'e': 0.5987369392383786}",30,4,-93.46602470534889,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 2}",1
11,False,"{'a': 0.3, 'e': 0.5688000922764596}",25,10,10.05122679427016,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.3, 'e': 0.5403600876626365}",20,0,-54.21162142452503,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
