trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-33.17468232893719,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-101.05507672529053,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-90.04079627938216,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-158.3617902964263,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-248.43579078040284,"{0: 11, 1: 1, 2: 0, 3: 3, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-114.51770025847325,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-21.946814752603565,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-162.7932955681817,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-226.7659306393233,"{0: 21, 1: 1, 2: 7, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-6.687529709456319,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-134.517913443534,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-145.15529103477695,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-70.45244291626938,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-216.24757386307624,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-120.4080364897712,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-81.46431837675794,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-74.18097417900809,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,-44.859704366929535,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-143.44603856488663,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-101.26369853882709,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-115.44726230362937,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-100.33708199592068,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-158.9013344703625,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-68.1475526501734,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-128.0193340622625,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-53.574137029121786,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-133.66812682589375,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-78.12389644291666,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-223.46938398668266,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",30,0,-272.089956689144,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
